SPECIE NAME,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN,MEAN
"2,2,4-Trimethylpentane",0.56,0.01,0.05,0.01,0.01,1.6,0.1,0.0,0.0,0.0,4.71,4.97,0.0,0.87,1.48,0.12,0.58,0.0,0.21,0.17,0.69,0.35,0.01,0.0,0.0,0.01,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.03,0.09,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.02,0.01,0.01,0.01,0.01,0.0,0.02,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.99,0.03,0.91,0.29,0.2,0.29
"2,3,4-Trimethylpentane",0.44,0.01,0.03,0.01,0.01,1.29,0.0,0.02,0.07,0.0,1.93,1.87,0.18,0.19,0.5,0.03,0.28,0.28,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.07,0.12,0.0,0.03,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.04,0.04,0.01,0.0,0.01,0.0,0.02,0.01,0.01,0.02,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.27,0.26,0.15,0.08
2-Methylheptane,0.97,0.01,0.06,0.22,0.22,0.96,0.0,0.03,0.26,0.32,0.53,1.17,0.7,0.18,0.76,0.12,1.04,0.0,0.04,0.05,0.14,0.11,0.03,0.47,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.5,0.23,0.49,0.01,0.1,0.59,0.0,0.0,0.87,0.12,0.03,0.71,0.01,0.25,1.49,1.74,0.0,1.34,0.1,0.1,0.01,0.02,0.0,0.24,0.48,0.03,0.24,1.23,0.07,0.39,0.02,0.06,0.0,0.03,0.02,0.03,0.06,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,1.22,0.74,1.12,0.59
3-Methylheptane,0.86,0.01,0.04,0.21,0.19,0.69,0.0,0.03,0.21,0.26,0.41,0.66,0.88,0.0,0.0,0.09,0.92,0.92,0.0,0.0,0.0,0.0,0.02,0.17,0.0,0.0,0.0,0.0,0.66,1.08,0.0,0.0,0.7,0.14,0.28,0.03,0.1,0.5,0.0,0.0,0.51,0.05,0.02,0.49,0.0,0.24,0.63,0.98,0.0,0.96,0.11,0.0,0.01,0.01,0.95,0.11,0.15,0.02,0.19,0.71,0.04,0.11,0.03,0.04,0.0,0.04,0.02,0.02,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,1.64,0.78,1.18,0.78
n-Octane,0.24,0.01,0.66,0.5,0.47,1.38,0.14,0.04,0.0,0.0,0.16,0.27,0.29,0.14,0.97,0.08,0.78,1.48,2.12,1.06,4.71,0.19,0.08,0.83,0.01,0.07,0.06,0.13,0.56,1.87,0.1,0.08,1.71,0.17,0.16,0.44,2.08,0.99,0.15,0.0,0.93,0.59,0.05,0.61,0.0,0.28,1.74,2.24,0.0,6.69,0.25,1.4,0.28,0.16,4.02,0.59,1.32,0.12,0.37,2.38,0.33,0.8,0.1,0.15,0.0,0.03,0.06,0.07,1.49,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.0,0.02,1.79,1.24,1.74,0.86
n-Nonane,0.19,0.01,0.03,2.77,2.77,0.14,0.0,0.03,0.0,0.0,0.04,0.19,0.2,0.05,0.41,0.08,0.47,0.95,0.14,0.03,0.11,0.01,0.1,0.48,0.0,0.0,0.0,0.0,1.09,1.08,0.4,0.04,0.9,0.19,0.66,0.08,0.6,0.4,0.12,0.45,1.24,0.83,0.0,0.19,0.0,0.0,1.73,1.37,0.0,14.84,0.14,0.6,0.19,0.15,8.24,0.16,0.27,0.06,0.16,0.98,0.11,0.18,0.03,0.08,0.0,0.05,0.04,0.05,0.39,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.64,0.82,0.42
n-Decane,0.22,0.66,1.87,2.27,2.17,0.2,0.07,0.04,0.0,0.19,0.01,0.46,0.15,0.08,0.22,0.07,0.27,0.38,0.02,0.0,0.02,0.02,0.0,0.54,0.0,0.0,0.0,0.0,0.84,1.28,0.1,0.0,1.31,0.05,0.07,0.12,1.09,0.59,0.06,0.12,0.76,0.48,0.0,0.01,0.0,0.0,0.71,1.19,0.03,16.86,0.29,0.1,0.5,0.48,7.19,0.07,0.09,0.06,0.06,0.09,0.1,0.04,0.14,0.09,0.0,0.07,0.06,0.08,0.19,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.12,0.0,0.1,1.28,0.19,0.0,0.11
n-Un.a.ecane,0.2,7.45,11.94,5.52,4.51,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.22,0.07,0.35,0.0,0.0,0.0,0.0,0.23,0.52,0.0,0.0,0.0,0.0,0.69,1.28,0.1,0.0,0.0,0.01,0.01,0.01,0.0,0.1,0.01,0.07,0.27,0.11,0.0,0.0,0.0,0.0,0.19,0.77,0.72,12.96,0.28,0.2,0.0,0.01,17.22,0.04,0.01,0.09,0.0,0.01,0.1,0.02,0.01,0.09,0.0,0.11,0.06,0.08,0.24,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.04,0.0,0.12,0.0,0.0,0.0,0.0
Ethene,11.35,14.74,8.39,14.48,8.82,0.0,3.63,1.66,1.96,2.43,0.03,0.0,0.0,0.45,0.01,0.02,0.01,0.0,5.27,2.11,3.15,0.33,20.24,12.76,38.86,15.54,41.95,0.0,0.0,5.42,0.3,0.0,0.1,0.0,0.0,0.15,0.1,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.73,0.2,0.04,0.25,0.0,3.04,3.84,0.77,0.28,0.79,10.25,3.81,15.06,2.29,0.43,3.39,7.16,6.44,6.24,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.5,1.36,0.08,0.0,0.0,0.0,0.0
Propene,4.52,0.01,0.08,6.41,6.1,2.45,0.0,2.18,1.05,2.63,0.0,0.0,0.05,2.09,0.03,0.33,0.03,0.31,1.29,1.93,1.27,2.04,2.91,8.97,2.09,6.49,2.44,0.0,1.89,5.52,0.3,0.06,0.1,0.01,0.0,0.11,0.3,0.69,0.04,0.0,0.02,0.01,0.0,0.02,0.0,0.0,0.0,0.03,0.01,0.54,1.06,0.8,0.61,0.06,1.2,11.75,6.46,4.61,4.46,1.99,13.56,8.49,16.24,1.75,89.3,50.44,20.29,8.55,3.56,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.24,0.71,0.13,0.0,0.0,0.0,0.0
